sl_no,homeTeam,homeScore,awayteam,awayscore,round,group,date
0,Club Brugge,1,Juventus,2,round : 1,A,2005-09-14
1,SK Rapid Wien,0,Bayern München,1,round : 1,A,2005-09-14
2,Arsenal,2,FC Thun,1,round : 1,B,2005-09-14
3,Sparta Praha,1,Ajax,1,round : 1,B,2005-09-14
4,Udinese,3,Panathinaikos,0,round : 1,C,2005-09-14
5,Werder Bremen,0,Barcelona,2,round : 1,C,2005-09-14
6,SL Benfica,1,Lille OSC,0,round : 1,D,2005-09-14
7,Villarreal,0,Manchester United,0,round : 1,D,2005-09-14
8,Milan,3,Fenerbahçe,1,round : 1,E,2005-09-13
9,PSV Eindhoven,1,FC Schalke 04,0,round : 1,E,2005-09-13
10,Olympiacos,1,Rosenborg BK,3,round : 1,F,2005-09-13
11,Olympique Lyonnais,3,Real Madrid,0,round : 1,F,2005-09-13
12,Chelsea,1,RSC Anderlecht,0,round : 1,G,2005-09-13
13,Real Betis Balompié,1,Liverpool,2,round : 1,G,2005-09-13
14,FC Petrzalka 1898,0,Inter,1,round : 1,H,2005-09-13
15,Rangers,3,FC Porto,2,round : 1,H,2005-09-13
16,Bayern München,1,Club Brugge,0,round : 2,A,2005-09-27
17,Juventus,3,SK Rapid Wien,0,round : 2,A,2005-09-27
18,Ajax,1,Arsenal,2,round : 2,B,2005-09-27
19,FC Thun,1,Sparta Praha,0,round : 2,B,2005-09-27
20,Barcelona,4,Udinese,1,round : 2,C,2005-09-27
21,Panathinaikos,2,Werder Bremen,1,round : 2,C,2005-09-27
22,Lille OSC,0,Villarreal,0,round : 2,D,2005-09-27
23,Manchester United,2,SL Benfica,1,round : 2,D,2005-09-27
24,FC Schalke 04,2,Milan,2,round : 2,E,2005-09-28
25,Fenerbahçe,3,PSV Eindhoven,0,round : 2,E,2005-09-28
26,Real Madrid,2,Olympiacos,1,round : 2,F,2005-09-28
27,Rosenborg BK,0,Olympique Lyonnais,1,round : 2,F,2005-09-28
